Dreams & Nightmares Case
StatTrak™ Galil AR | Rocket Pop (Minimal Wear)
Sticker | flamie (Foil) | Katowice 2019
★ StatTrak™ Butterfly Knife | Forest DDPAT (Battle-Scarred)
Souvenir AWP | Acheron (Well-Worn)
★ StatTrak™ M9 Bayonet | Blue Steel (Well-Worn)
Souvenir Nova | Quick Sand (Battle-Scarred)
XM1014 | Frost Borre (Factory New)
★ StatTrak™ Bayonet | Doppler (Minimal Wear)
StatTrak™ XM1014 | Heaven Guard (Minimal Wear)
Souvenir Dual Berettas | Demolition (Field-Tested)
Sticker | Magisk (Gold) | Katowice 2019
StatTrak™ SSG 08 | Bloodshot (Minimal Wear)
StatTrak™ Nova | Tempest (Factory New)
Sticker | The Real MVP (Foil)
XM1014 | Frost Borre (Field-Tested)
StatTrak™ MAC-10 | Curse (Factory New)
★ Talon Knife | Scorched (Well-Worn)
StatTrak™ P2000 | Obsidian (Battle-Scarred)
★ Driver Gloves | Imperial Plaid (Well-Worn)
Sticker | Natus Vincere (Foil) | MLG Columbus 2016
Sticker | GODSENT (Holo) | Atlanta 2017
Souvenir MAC-10 | Nuclear Garden (Battle-Scarred)
PP-Bizon | Forest Leaves (Field-Tested)
StatTrak™ SG 553 | Danger Close (Well-Worn)
Sticker | ropz | Krakow 2017
Sticker | Lucky Cat (Foil)
Sawed-Off | First Class (Field-Tested)
MAG-7 | Firestarter (Well-Worn)
Operation Bravo Pass
Sticker | Kaze | Katowice 2019
★ Paracord Knife | Boreal Forest (Well-Worn)
Sticker | saffee (Holo) | Antwerp 2022
★ StatTrak™ Paracord Knife | Forest DDPAT (Battle-Scarred)
Souvenir Sawed-Off | Snake Camo (Minimal Wear)
★ StatTrak™ Gut Knife | Lore (Factory New)
Sticker | Liazz (Glitter) | Antwerp 2022
★ StatTrak™ Stiletto Knife | Boreal Forest (Minimal Wear)
★ Ursus Knife | Tiger Tooth (Minimal Wear)
Souvenir SG 553 | Damascus Steel (Minimal Wear)
UMP-45 | Scorched (Battle-Scarred)
AUG | Plague (Well-Worn)
StatTrak™ Dual Berettas | Elite 1.6 (Well-Worn)
PP-Bizon | Osiris (Well-Worn)
★ StatTrak™ Talon Knife | Boreal Forest (Minimal Wear)
Sticker | Flipsid3 Tactics (Holo) | Cologne 2016
Souvenir AK-47 | Black Laminate (Well-Worn)
Sticker | EliGE (Foil) | Cologne 2016
Dual Berettas | Cobalt Quartz (Well-Worn)
★ Karambit | Damascus Steel (Well-Worn)
Sticker | Quantum Bellator Fire (Holo) | Boston 2018
M4A1-S | Imminent Danger (Factory New)
★ StatTrak™ Stiletto Knife | Damascus Steel (Battle-Scarred)
P90 | Virus (Well-Worn)
StatTrak™ Glock-18 | Blue Fissure (Well-Worn)
★ StatTrak™ Flip Knife | Case Hardened (Field-Tested)
Sticker | Blue Lethal
★ Shadow Daggers | Black Laminate (Factory New)
★ StatTrak™ Shadow Daggers | Ultraviolet (Battle-Scarred)
Negev | Bratatat (Well-Worn)
Sticker | Team Liquid (Holo) | Boston 2018
★ StatTrak™ Falchion Knife | Lore (Factory New)
Sticker | hampus (Holo) | Antwerp 2022
★ StatTrak™ Classic Knife | Case Hardened (Well-Worn)
Sticker | Jerry (Foil) | Berlin 2019
Sticker | woxic (Foil) | Berlin 2019
Sticker | dexter (Foil) | Berlin 2019
Sticker | JUGi (Foil) | Berlin 2019
Sticker | Krad (Foil) | Berlin 2019
Sticker | KSCERATO (Foil) | Berlin 2019
★ StatTrak™ Gut Knife | Lore (Minimal Wear)
Sticker | Blood Boiler
Tec-9 | Nuclear Threat (Battle-Scarred)
Sticker | FaZe Clan (Holo) | Katowice 2019
SSG 08 | Spring Twilly (Battle-Scarred)
Souvenir P250 | Black & Tan (Well-Worn)
★ Hand Wraps | Cobalt Skulls (Factory New)
★ Talon Knife | Stained (Factory New)
Souvenir M4A1-S | Knight (Factory New)
Dual Berettas | Hemoglobin (Field-Tested)
StatTrak™ SG 553 | Ultraviolet (Battle-Scarred)
Five-SeveN | Hyper Beast (Well-Worn)
Sticker | Team Dignitas | DreamHack 2014
Berlin 2019 Viewer Pass + 3 Souvenir Tokens
Sticker | Cloud9 (Holo) | MLG Columbus 2016
Sticker | rox (Gold) | Antwerp 2022
AWP | Snake Camo (Well-Worn)
★ StatTrak™ Paracord Knife | Blue Steel (Well-Worn)
★ StatTrak™ Classic Knife | Blue Steel (Well-Worn)
Sticker | cajunb | Krakow 2017
Sticker | BIG (Foil) | Katowice 2019
StatTrak™ MP7 | Guerrilla (Battle-Scarred)
ESL One Cologne 2015 Legends (Foil)
★ StatTrak™ Stiletto Knife | Case Hardened (Field-Tested)
★ Bayonet | Night (Well-Worn)
Sealed Graffiti | Recoil PP-Bizon (Shark White)
★ Stiletto Knife | Fade (Minimal Wear)
★ M9 Bayonet | Fade (Minimal Wear)
Sticker | cajunb (Foil) | London 2018
MLG Columbus 2016 Cobblestone Souvenir Package
Krakow 2017 Cobblestone Souvenir Package
ESL One Cologne 2014 Cobblestone Souvenir Package
DreamHack Cluj-Napoca 2015 Cobblestone Souvenir Package
Atlanta 2017 Cobblestone Souvenir Package
★ Driver Gloves | King Snake (Factory New)
★ Falchion Knife | Rust Coat (Well-Worn)
Sticker | Titan | Cluj-Napoca 2015
DreamHack Cluj-Napoca 2015 Legends (Foil)
StatTrak™ Galil AR | Akoben (Well-Worn)
StatTrak™ AWP | Containment Breach (Well-Worn)
★ StatTrak™ Stiletto Knife | Crimson Web (Field-Tested)
Sticker | JDC (Holo) | Rio 2022
Sticker | Bad News Eagles (Gold) | Antwerp 2022
Sticker | FL1T (Gold, Champion) | Rio 2022
Sticker | F1KU (Holo) | Rio 2022
Sticker | VINI (Holo) | Rio 2022
Sticker | Hobbit (Holo) | Rio 2022
★ StatTrak™ Shadow Daggers | Damascus Steel (Factory New)
Sticker | Aerial (Foil) | Katowice 2019
Sticker | yuurih (Foil) | Katowice 2019
Sticker | Zeus | Boston 2018
Sticker | IHC Esports (Gold) | Rio 2022
Patch | G2 Esports (Gold) | Stockholm 2021
Sawed-Off | Rust Coat (Well-Worn)
Sawed-Off | First Class (Factory New)
StatTrak™ Galil AR | Kami (Battle-Scarred)
Sticker | seized | Cologne 2015
Sticker | jkaem | MLG Columbus 2016
★ Talon Knife | Marble Fade (Minimal Wear)
Sticker | seized (Foil) | MLG Columbus 2016
Sticker | NBK- | Cluj-Napoca 2015
MAC-10 | Indigo (Battle-Scarred)
Sticker | RUSH (Foil) | London 2018
Sealed Graffiti | Natus Vincere | London 2018
Sticker | Small Arms
SSG 08 | Spring Twilly (Well-Worn)
★ StatTrak™ Classic Knife | Case Hardened (Battle-Scarred)
Sticker | ANGE1 | London 2018
Sticker | GODSENT | Atlanta 2017
StatTrak™ PP-Bizon | Lumen (Well-Worn)
Sticker | TACO | MLG Columbus 2016
Sticker | n0thing | Katowice 2019
Sealed Graffiti | Oops (Princess Pink)
★ StatTrak™ Flip Knife | Stained (Well-Worn)
AWP | Fade (Minimal Wear)
Sticker | EliGE (Holo) | Antwerp 2022
Sticker | PENTA Sports  | Katowice 2015
★ StatTrak™ Karambit | Case Hardened (Field-Tested)
Sealed Graffiti | Cloud9 | Boston 2018
Souvenir CZ75-Auto | Nitro (Battle-Scarred)
StatTrak™ AK-47 | Fire Serpent (Factory New)
StatTrak™ USP-S | Blueprint (Well-Worn)
StatTrak™ AK-47 | Fuel Injector (Battle-Scarred)
Sealed Graffiti | Blood Boiler
StatTrak™ Dual Berettas | Panther (Well-Worn)
MAG-7 | Hard Water (Well-Worn)
P250 | Facets (Field-Tested)
StatTrak™ XM1014 | Seasons (Well-Worn)
Souvenir XM1014 | Bone Machine (Battle-Scarred)
Galil AR | Hunting Blind (Factory New)
Sticker | Purrurists (Foil)
Sticker | Watermelon Tier6 (Holo)
StatTrak™ MAC-10 | Aloha (Battle-Scarred)
Sticker | Bonehead (Holo)
StatTrak™ MAG-7 | BI83 Spectrum (Well-Worn)
Sticker | v4lde (Gold) | Rio 2022
StatTrak™ Sawed-Off | Yorick (Field-Tested)
Sealed Graffiti | mousesports | Boston 2018
Sealed Graffiti | G2 Esports | Krakow 2017
Autograph Capsule | Natus Vincere | Cologne 2015
G3SG1 | Chronos (Field-Tested)
Sawed-Off | Highwayman (Well-Worn)
StatTrak™ G3SG1 | Black Sand (Battle-Scarred)
★ Huntsman Knife | Freehand (Well-Worn)
Sticker | NAF (Gold) | Rio 2022
★ Flip Knife | Tiger Tooth (Minimal Wear)
Souvenir M4A1-S | Master Piece (Minimal Wear)
Sticker | Sneaky Beaky Like
Sticker | Backstab
Souvenir AUG | Condemned (Field-Tested)
Souvenir SSG 08 | Death Strike (Minimal Wear)
★ StatTrak™ Classic Knife | Slaughter (Factory New)
★ StatTrak™ M9 Bayonet | Urban Masked (Minimal Wear)
★ StatTrak™ Ursus Knife | Ultraviolet (Minimal Wear)
★ StatTrak™ Classic Knife | Case Hardened (Field-Tested)
★ StatTrak™ Navaja Knife | Case Hardened (Field-Tested)
★ StatTrak™ Talon Knife | Case Hardened (Minimal Wear)
StatTrak™ CZ75-Auto | Crimson Web (Well-Worn)
Sealed Graffiti | Vega Squadron | Boston 2018
★ Huntsman Knife | Scorched (Minimal Wear)
★ StatTrak™ Shadow Daggers | Bright Water (Field-Tested)
Sticker | Gambit Gaming (Foil) | MLG Columbus 2016
Sticker | Trick Or Treat
StatTrak™ MAG-7 | Hard Water (Well-Worn)
★ StatTrak™ Flip Knife | Urban Masked (Field-Tested)
Sticker | Perfecto (Gold) | Rio 2022
SCAR-20 | Grotto (Well-Worn)
USP-S | Overgrowth (Well-Worn)
★ StatTrak™ Flip Knife | Bright Water (Well-Worn)
Sealed Graffiti | BIG | Krakow 2017
Sticker | Zero | Atlanta 2017
Sticker | EliGE (Gold) | Rio 2022
Sticker | Ninjas in Pyjamas (Holo) | MLG Columbus 2016
★ StatTrak™ Bowie Knife | Scorched (Field-Tested)
Sticker | North (Foil) | London 2018
★ StatTrak™ Butterfly Knife | Scorched (Battle-Scarred)
Souvenir P250 | Bone Mask (Battle-Scarred)
★ StatTrak™ M9 Bayonet | Autotronic (Battle-Scarred)
M4A1-S | Briefing (Well-Worn)
StatTrak™ P250 | Splash (Factory New)
Sticker | dupreeh | Boston 2018
Sticker | w0nderful (Gold) | Rio 2022
★ StatTrak™ Nomad Knife | Forest DDPAT (Well-Worn)
Sticker | Vega Squadron (Holo) | London 2018
StatTrak™ P250 | Undertow (Field-Tested)
Dual Berettas | Cobra Strike (Minimal Wear)
★ Navaja Knife | Crimson Web (Well-Worn)
Sticker | kabal (Holo) | Rio 2022
Sticker | ins (Gold) | Antwerp 2022
Sticker | FaZe Clan (Holo) | Krakow 2017
★ StatTrak™ Nomad Knife | Fade (Factory New)
Sticker | Hello M4A1-S (Gold)
StatTrak™ MP9 | Hypnotic (Minimal Wear)
★ StatTrak™ Stiletto Knife | Crimson Web (Well-Worn)
★ Huntsman Knife | Slaughter (Minimal Wear)
★ StatTrak™ Gut Knife | Fade (Factory New)
Sticker | nitr0 (Foil) | London 2018
★ StatTrak™ Survival Knife | Blue Steel (Field-Tested)
★ StatTrak™ Navaja Knife | Night Stripe (Minimal Wear)
P2000 | Grassland Leaves (Field-Tested)
Sticker | flamie | Boston 2018
Souvenir Glock-18 | Nuclear Garden (Battle-Scarred)
Souvenir AK-47 | Green Laminate (Well-Worn)
Sticker | Lord of Skulls (Holo)
★ StatTrak™ Nomad Knife | Safari Mesh (Battle-Scarred)
Autograph Capsule | Cloud9 G2A | Cologne 2015
★ StatTrak™ Ursus Knife | Blue Steel (Well-Worn)
MP7 | Full Stop (Field-Tested)
P2000 | Woodsman (Factory New)
Souvenir SSG 08 | Death Strike (Battle-Scarred)
Sticker | n0rb3r7 (Gold) | Rio 2022
Sawed-Off | Irradiated Alert (Minimal Wear)
Sticker | dexter (Holo) | Rio 2022
Sticker | Stewie2K (Foil) | Katowice 2019
★ StatTrak™ Paracord Knife | Slaughter (Minimal Wear)
Galil AR | Akoben (Well-Worn)
StatTrak™ Negev | Bratatat (Well-Worn)
SSG 08 | Orange Filigree (Well-Worn)
StatTrak™ PP-Bizon | Jungle Slipstream (Well-Worn)
Sticker | ANNIHILATION (Gold) | Rio 2022
StatTrak™ M4A1-S | Chantico's Fire (Battle-Scarred)
StatTrak™ M4A4 | Howl (Factory New)
★ Paracord Knife | Night Stripe (Well-Worn)
G3SG1 | New Roots (Battle-Scarred)
P250 | Black & Tan (Well-Worn)
Nova | Quick Sand (Battle-Scarred)
G3SG1 | New Roots (Well-Worn)
M4A1-S | Moss Quartz (Battle-Scarred)
FAMAS | Meltdown (Well-Worn)
StatTrak™ USP-S | Monster Mashup (Well-Worn)
StatTrak™ Five-SeveN | Copper Galaxy (Field-Tested)
Souvenir M4A4 | Radiation Hazard (Well-Worn)
Galil AR | CAUTION! (Minimal Wear)
Sticker | YEKINDAR (Gold) | Antwerp 2022
★ Sport Gloves | Bronze Morph (Factory New)
★ Gut Knife | Urban Masked (Minimal Wear)
StatTrak™ Desert Eagle | Heirloom (Well-Worn)
Sticker | Gambit Esports (Holo) | London 2018
Sealed Graffiti | Question Mark (Battle Green)
★ StatTrak™ Karambit | Bright Water (Minimal Wear)
Sealed Graffiti | Puke (Tracer Yellow)
Sticker | Plopski (Gold) | Antwerp 2022
Souvenir AK-47 | Safety Net (Well-Worn)
StatTrak™ M4A1-S | Mecha Industries (Well-Worn)
★ Shadow Daggers | Safari Mesh (Well-Worn)
★ Shadow Daggers | Night (Well-Worn)
MP9 | Stained Glass (Minimal Wear)
★ Navaja Knife | Forest DDPAT (Well-Worn)
Sealed Graffiti | Guardian Dragon
Sticker | HS | Krakow 2017
Sawed-Off | Bamboo Shadow (Well-Worn)
SG 553 | Gator Mesh (Well-Worn)
Five-SeveN | Nitro (Well-Worn)
Sealed Graffiti | NT (Blood Red)
Sticker | Ninjas in Pyjamas (Holo) | DreamHack 2014
★ Shadow Daggers | Tiger Tooth (Minimal Wear)
Sticker | WorldEdit | Katowice 2019
XM1014 | Fallout Warning (Factory New)
Souvenir Desert Eagle | Fennec Fox (Well-Worn)
Sticker | friberg | Cologne 2016
Sticker | Renegades | Katowice 2019
Sticker | byali (Foil) | Boston 2018
Sticker | dephh (Foil) | London 2018
Sticker | nex | MLG Columbus 2016
Sticker | flusha | Cologne 2016
Sticker | AdreN | London 2018
Sticker | AdreN | Atlanta 2017
Sticker | bondik (Foil) | London 2018
Sticker | LGB eSports | Katowice 2015
Sticker | Gambit Gaming (Foil) | Cologne 2016
★ StatTrak™ Stiletto Knife | Forest DDPAT (Minimal Wear)
StatTrak™ MP5-SD | Phosphor (Well-Worn)
StatTrak™ USP-S | Serum (Field-Tested)
Sticker | Boombl4 (Gold) | London 2018
★ Driver Gloves | Queen Jaguar (Factory New)
★ StatTrak™ Nomad Knife | Stained (Well-Worn)
★ StatTrak™ Skeleton Knife | Crimson Web (Battle-Scarred)
StatTrak™ MAC-10 | Graven (Factory New)
★ StatTrak™ Karambit | Lore (Field-Tested)
Sticker | Wanna Fight
★ Karambit | Stained (Factory New)
Sticker | degster (Holo) | Antwerp 2022
CZ75-Auto | Emerald Quartz (Battle-Scarred)
Sealed Graffiti | Choke (Cash Green)
Sticker | bodyy (Foil) | London 2018
★ StatTrak™ Huntsman Knife | Gamma Doppler (Factory New)
Autograph Capsule | Astralis | Cologne 2016
Sticker | erkaSt (Foil) | Berlin 2019
Sealed Graffiti | Little Bock (Tracer Yellow)
Sealed Graffiti | Applause (Brick Red)
Sticker | chopper | London 2018
★ StatTrak™ Classic Knife | Forest DDPAT (Battle-Scarred)
Sawed-Off | Rust Coat (Factory New)
Sticker | Dragon Lore Surf Ava (Foil)
★ StatTrak™ Skeleton Knife | Scorched (Battle-Scarred)
P250 | Facets (Minimal Wear)
Sticker | nitr0 (Foil) | MLG Columbus 2016
Dual Berettas | Briar (Field-Tested)
Souvenir SSG 08 | Death Strike (Factory New)
Souvenir Nova | Green Apple (Field-Tested)
SG 553 | Gator Mesh (Field-Tested)
★ Bowie Knife | Stained (Well-Worn)
XM1014 | Red Leather (Factory New)
StatTrak™ FAMAS | Macabre (Field-Tested)
Sticker | nexa (Glitter) | Rio 2022
SG 553 | Traveler (Field-Tested)
MAG-7 | Hazard (Field-Tested)
Souvenir P2000 | Chainmail (Field-Tested)
PP-Bizon | Irradiated Alert (Factory New)
★ StatTrak™ Skeleton Knife | Blue Steel (Well-Worn)
★ StatTrak™ Survival Knife | Crimson Web (Field-Tested)
StatTrak™ Galil AR | Sugar Rush (Field-Tested)
StatTrak™ SG 553 | Colony IV (Minimal Wear)
★ StatTrak™ Karambit | Case Hardened (Battle-Scarred)
Sawed-Off | Orange DDPAT (Field-Tested)
FAMAS | Prime Conspiracy (Well-Worn)
G3SG1 | Demeter (Factory New)
Sealed Graffiti | Smirk (Violent Violet)
★ Shadow Daggers | Urban Masked (Well-Worn)
Five-SeveN | Withered Vine (Well-Worn)
★ StatTrak™ Classic Knife | Crimson Web (Field-Tested)
★ StatTrak™ Karambit
★ StatTrak™ Ursus Knife | Slaughter (Field-Tested)
UMP-45 | Crime Scene (Well-Worn)
Souvenir MP9 | Hot Rod (Minimal Wear)
★ Bowie Knife | Blue Steel (Well-Worn)
Souvenir XM1014 | VariCamo Blue (Well-Worn)
Sticker | keshandr (Foil) | Krakow 2017
Sticker | peet (Foil) | Cluj-Napoca 2015
Souvenir XM1014 | CaliCamo (Field-Tested)
M249 | Shipping Forecast (Battle-Scarred)
Sealed Graffiti | Choke (Monster Purple)
Sealed Graffiti | Kiss (Tracer Yellow)
Sealed Graffiti | Kiss (Violent Violet)
Sealed Graffiti | Puke (Bazooka Pink)
Sealed Graffiti | BOOM (SWAT Blue)
Sticker | slaxz- (Gold) | Rio 2022
★ StatTrak™ Huntsman Knife | Bright Water (Battle-Scarred)
★ Bowie Knife | Urban Masked (Factory New)
StatTrak™ Five-SeveN | Violent Daimyo (Well-Worn)
Glock-18 | Blue Fissure (Well-Worn)
Sticker | MIBR (Holo) | Antwerp 2022
Sticker | DavCost | Katowice 2019
Sticker | waterfaLLZ | Boston 2018
Sticker | FaNg (Gold) | Antwerp 2022
Sticker | frozen (Gold) | Rio 2022
★ StatTrak™ Butterfly Knife | Case Hardened (Well-Worn)
Nova | Forest Leaves (Factory New)
StatTrak™ SCAR-20 | Cardiac (Factory New)
P2000 | Dispatch (Battle-Scarred)
★ Flip Knife | Rust Coat (Well-Worn)
Souvenir SCAR-20 | Storm (Factory New)
★ Hand Wraps | Arboreal (Factory New)
Sticker | Karsa | Boston 2018
Sticker | tabseN (Holo) | Rio 2022
Sealed Graffiti | Question Mark (War Pig Pink)
★ Huntsman Knife | Crimson Web (Battle-Scarred)
★ StatTrak™ Flip Knife | Damascus Steel (Battle-Scarred)
Sticker | RUSH (Foil) | Atlanta 2017
★ Flip Knife | Freehand (Battle-Scarred)
★ Shadow Daggers | Scorched (Battle-Scarred)
Sticker | TRY (Gold) | Rio 2022
StatTrak™ MP5-SD | Phosphor (Battle-Scarred)
Sticker | sjuush (Gold) | Antwerp 2022
Sticker | fnx (Gold) | Antwerp 2022
StatTrak™ MAC-10 | Graven (Field-Tested)
SSG 08 | Red Stone (Battle-Scarred)
SG 553 | Lush Ruins (Battle-Scarred)
StatTrak™ XM1014 | Slipstream (Battle-Scarred)
Sticker | device (Foil) | Krakow 2017
Negev | Phoenix Stencil (Field-Tested)
Sticker | balblna (Foil) | Boston 2018
Sticker | Happy | Boston 2018
★ StatTrak™ Falchion Knife | Safari Mesh (Field-Tested)
Sawed-Off | Copper (Minimal Wear)
Patch | Virtus.Pro (Gold) | Stockholm 2021
★ Bayonet | Freehand (Battle-Scarred)
StatTrak™ P2000 | Imperial Dragon (Well-Worn)
Sticker | Bonehead
Sticker | Tuurtle (Gold) | Antwerp 2022
Sticker | hampus (Gold) | Antwerp 2022
★ Survival Knife | Fade (Minimal Wear)
Sticker | Ax1Le (Glitter) | Rio 2022
Sticker | DavCost (Foil) | London 2018
Souvenir AUG | Contractor (Field-Tested)
★ StatTrak™ Gut Knife | Lore (Field-Tested)
AUG | Spalted Wood (Well-Worn)
Sticker | Counter Logic Gaming (Holo) | Cologne 2016
MP9 | Old Roots (Well-Worn)
Souvenir XM1014 | Fallout Warning (Well-Worn)
MAC-10 | Tornado (Well-Worn)
Sticker | NBK- (Foil) | Boston 2018
Patch | Heroic | Stockholm 2021
StatTrak™ AWP | Phobos (Well-Worn)
PP-Bizon | Antique (Well-Worn)
Masterminds Music Kit Box
Patch | Virtus.Pro | Stockholm 2021
Patch | Vitality | Stockholm 2021
Sticker | Flipsid3 Tactics | Cologne 2015
StatTrak™ Dual Berettas | Black Limba (Well-Worn)
Dual Berettas | Moon in Libra (Well-Worn)
AUG | Midnight Lily (Field-Tested)
Five-SeveN | Jungle (Battle-Scarred)
Sealed Graffiti | Broken Heart (SWAT Blue)
StatTrak™ AWP | Containment Breach (Factory New)
Autograph Capsule | Fnatic | Cologne 2015
Sealed Graffiti | Avangar | Boston 2018
Souvenir SG 553 | Desert Blossom (Battle-Scarred)
Souvenir P250 | Nuclear Threat (Minimal Wear)
Sticker | dennis | London 2018
MAC-10 | Strats (Battle-Scarred)
Sticker | FACEIT (Foil) | London 2018
Warhammer 40,000 Sticker Capsule
★ StatTrak™ Shadow Daggers | Marble Fade (Factory New)
Souvenir Dual Berettas | Twin Turbo (Minimal Wear)
CZ75-Auto | Chalice (Factory New)
★ StatTrak™ Karambit | Freehand (Battle-Scarred)
★ Huntsman Knife | Urban Masked (Minimal Wear)
MP9 | Green Plaid (Factory New)
StatTrak™ CZ75-Auto | Poison Dart (Factory New)
★ StatTrak™ Talon Knife | Night Stripe (Field-Tested)
Sticker | bondik (Foil) | Atlanta 2017
Dual Berettas | Cobra Strike (Battle-Scarred)
★ StatTrak™ Classic Knife | Fade (Factory New)
Sticker | Cloud9 (Foil) | London 2018
Sticker | compLexity Gaming (Foil) | London 2018
StatTrak™ UMP-45 | Delusion (Factory New)
Sticker | Cloud9 | MLG Columbus 2016
Sticker | Xizt | Cluj-Napoca 2015
Sticker | NBK- | Boston 2018
Sticker | nex | London 2018
Sticker | Virtus.Pro (Gold) | Stockholm 2021
StatTrak™ P250 | Contaminant (Battle-Scarred)
Sticker | Team LDLC.com | DreamHack 2014
Sticker | XANTARES | London 2018
Sticker | kioShiMa | Krakow 2017
Sticker | flusha | Boston 2018
Sticker | apEX | MLG Columbus 2016
Sticker | Vega Squadron | Boston 2018
Sticker | byali | Krakow 2017
StatTrak™ M4A1-S | Cyrex (Well-Worn)
Sawed-Off | Orange DDPAT (Battle-Scarred)
Sticker | Kaze | Boston 2018
Sticker | shox (Foil) | Katowice 2019
Sticker | Team EnVyUs (Holo) | Cologne 2016
Sticker | f0rest | Cologne 2015
Sticker | drop (Holo) | Rio 2022
Sticker | KRIMZ | Krakow 2017
Sealed Graffiti | Applause (Bazooka Pink)
Sealed Graffiti | Smarmy (Dust Brown)
Sealed Graffiti | Applause (SWAT Blue)
Sticker | Boom (Gold) | 2020 RMR
Sticker | HellRaisers | London 2018
Sticker | autimatic | Krakow 2017
Sticker | KRIMZ | Cologne 2016
Patch | Anchors Aweigh
Sealed Graffiti | Recoil AWP (Battle Green)
Sealed Graffiti | Recoil MP9 (Tracer Yellow)
M4A1-S | Moss Quartz (Well-Worn)
Sticker | boltz | Krakow 2017
Sticker | MIBR (Holo) | London 2018
★ StatTrak™ Flip Knife | Blue Steel (Field-Tested)
Sealed Graffiti | Shining Star (War Pig Pink)
Sticker | Xizt (Foil) | London 2018
Sticker | Liazz (Foil) | Katowice 2019
Sticker | Gambit Gaming | Cologne 2016
★ StatTrak™ Falchion Knife | Tiger Tooth (Minimal Wear)
Sticker | Winstrike Team | London 2018
Patch | paiN Gaming | Stockholm 2021
Sticker | Skadoodle (Foil) | Krakow 2017
Glock-18 | Steel Disruption (Field-Tested)
Sticker | s1mple (Foil) | Krakow 2017
Sticker | kennyS (Foil) | Krakow 2017
P250 | Muertos (Well-Worn)
★ Skeleton Knife | Crimson Web (Factory New)
★ Talon Knife | Crimson Web (Factory New)
Sticker | apEX | Katowice 2019
Dual Berettas | Marina (Well-Worn)
Sticker | Sico (Gold) | Rio 2022
Sticker | S1ren (Gold) | Antwerp 2022
Sticker | k0nfig (Foil) | London 2018
Sticker | yam (Foil) | Cologne 2015
Sticker | Team eBettle | Cologne 2015
